feature,coefficient
suspicious_tld,7.780279257952681
has_url,0.9215432219851023
an,0.50121431583269
automated,0.44554282103108006
automated message,0.44554282103108006
is an,0.44554282103108006
an automated,0.44554282103108006
this is,0.43425920799757567
not reply,0.42271397040148595
message,0.382726246270938
this,0.35518007234653676
bank,0.33237550949151523
http,0.30393364871011436
team the,0.30097868031265546
secure,0.27313822035619467
this email,0.2722902383364639
is,0.26560653263098394
microsoft,0.2644296911267677
information,0.2611824304156509
file could,0.2611824304156509
convenience http,0.2611824304156509
earliest,0.2611824304156509
convenience,0.2611824304156509
details at,0.2611824304156509
file,0.2611824304156509
earliest convenience,0.2611824304156509
pw update,0.2611824304156509
processed,0.2611824304156509
method on,0.2611824304156509
your earliest,0.2611824304156509
